Scenario,Model,RMSE,RMSE,MAE,MAE,R2,R2
,,mean,std,mean,std,mean,std
remote,Baseline KAN,0.06616330988479399,0.0026577962646865865,0.054716742038726805,0.00040846943495859026,-0.0003336191177368164,0.0004618157307130714
remote,Qi-KAN (Proposed),0.0373995155202835,0.005753588894039652,0.017760364711284636,0.005572962169632118,0.6780124545097351,0.07986469080017976
urban,Baseline KAN,0.08328157544139557,0.0007070392363193127,0.0711009994149208,0.0006017414318917986,-0.0005333185195922852,0.00039725832976545485
urban,Qi-KAN (Proposed),0.07051017832779184,0.010019638475920942,0.05711810812354088,0.0098232753629865,0.2689978241920471,0.19366908906358982
